"First","Second","Third","Class","Age","AvgSleepTime","LastNightSleep","HoursAwake","Fatigue","Stress","Distraction","NoiseLevel","Temperature","VideoGamePlay","SportsPlay","ShootingGames","AvgHoursExercise","Gamer","CaffeineIntake","AlcoholIntake","VisualAcuity","PrimarilyHand","UsePrimaryHand","Cautious","InputDevice","RefreshRate","DeviceOS","WiFi"
498,461,448,"Junior",21,8,8,2,"Not fatigued at all","Moderate","No",2,"Warm","Rarely","Rarely","Intermediate",9,"No","No","No","Excellent","Left hand","Yes","Moderately cautious","Touch screen","Mid-Range","Laptop-Windows","Stable"
555,498,484,"Junior",20,8,7,10,"Slightly Fatigued","Moderate","No",2,"Neutral","Several times a week","Rarely","Beginner",2,"Yes","No","No","Good","Right hand","Yes","Very cautious","Mouse","High","Laptop-macOS","Stable"
619,564,679,"Junior",21,8,9,5,"Not fatigued at all","Low","No",2,"Neutral","Several times a week","Several times a week","Advanced",5,"Yes","No","No","Excellent","Right hand","Yes","Slightly cautious","Trackpad","Mid-Range","Laptop-macOS","Stable"
550,491,486,"Sophomore",19,7,9,13,"Slightly Fatigued","Very Low","No",2,"Neutral","Once a week","Several times a month","Beginner",4,"No","No","No","Good","Right hand","Yes","Very cautious","Trackpad","Standard","Laptop-macOS","Stable"
474,466,477,"Sophomore",20,7,7,10,"Moderately fatigued","Moderate","No",2,"Warm","Rarely","Rarely","Beginner",3,"Yes","No","No","Excellent","Right hand","Yes","Moderately cautious","Mouse","High","Desktopcomputer-Windows","Stable"
576,585,509,"Sophomore",19,8,10,10,"Slightly Fatigued","Low","No",2,"Warm","Daily","Once a week","Beginner",3,"Yes","Yes","No","Poor","Right hand","Yes","Moderately cautious","Trackpad","Standard","Laptop-Windows","Stable"
797,613,629,"Graduate student",26,7,6,8,"Very fatigued","High","No",2,"Neutral","Rarely","Never","Beginner",0,"No","No","No","Good","Right hand","Yes","Moderately cautious","Trackpad","Standard","Laptop-Windows","Stable"
619,518,517,"Sophomore",20,6,6,4.5,"Moderately fatigued","Moderate","No",2,"Warm","Several times a month","Rarely","Beginner",1,"No","No","No","Excellent","Right hand","Yes","Very cautious","Trackpad","High","Laptop-macOS","Stable"
212,390,666,"Junior",21,9,10,15,"Very fatigued","High","No",3,"Neutral","Daily","Daily","Advanced",25,"Yes","Yes","No","Good","Right hand","Yes","Moderately cautious","Mouse","High","Laptop-Windows","Stable"
675,650,643,"Junior",20,7,7,5,"Slightly Fatigued","Very Low","No",3,"Neutral","Several times a week","Daily","Advanced",12,"Yes","No","No","Good","Right hand","Yes","Moderately cautious","Trackpad","Mid-Range","Laptop-macOS","Stable"
704,721,584,"Sophomore",20,8,8,16,"Not fatigued at all","Very Low","No",3,"Cold","Rarely","Several times a month","Advanced",5,"No","No","No","Excellent","Right hand","No","Slightly cautious","Trackpad","High","Desktopcomputer-macOS","Stable"
663,655,591,"Senior",21,10,10,9,"Not fatigued at all","Very Low","No",3,"Neutral","Several times a month","Once a week","Beginner",1,"No","No","No","Average","Right hand","Yes","Not cautious at all","Trackpad","Mid-Range","Laptop-Windows","Stable"
710,833,684,"Sophomore",20,7,8,6,"Moderately fatigued","Moderate","Yes",3,"Neutral","Several times a week","Once a week","Intermediate",4,"No","No","No","Average","Right hand","No","Very cautious","Keyboard","High","Laptop-macOS","Stable"
325,356,378,"Senior",22,7.5,6,4,"Moderately fatigued","Low","No",3,"Neutral","Daily","Rarely","Advanced",4,"Yes","No","No","Excellent","Right hand","Yes","Moderately cautious","Mouse","Mid-Range","Laptop-Windows","Stable"
733,604,601,"Junior",22,5,7,12,"Slightly Fatigued","Moderate","No",3,"Neutral","Rarely","Rarely","None",0,"No","No","No","Good","Ambidextrous (both hands equally)","Yes","Moderately cautious","Trackpad","Mid-Range","Laptop-macOS","Stable"
392,384,401,"Junior",23,6,5,20,"Moderately fatigued","Very Low","No",3,"Neutral","Several times a week","Several times a week","Beginner",30,"Yes","No","No","Excellent","Right hand","Yes","Slightly cautious","Mouse","High","Desktopcomputer-Windows","Stable"
553,543,526,"Junior",21,5,6,15,"Moderately fatigued","Low","No",3,"Cold","Rarely","Rarely","Advanced",0,"No","No","No","Excellent","Ambidextrous (both hands equally)","No","Moderately cautious","Touch screen","Standard","iPad(Tablet-IOS)","Stable"
652,598,640,"Sophomore",19,7,1,4,"Slightly Fatigued","Very Low","No",3,"Neutral","Several times a month","Rarely","Intermediate",1,"Yes","Yes","No","Good","Right hand","Yes","Very cautious","Trackpad","High","Laptop-macOS","Stable"
426,412,413,"Sophomore",21,7,8,8,"Slightly Fatigued","Low","No",3,"Neutral","Several times a month","Several times a month","Intermediate",10,"Yes","No","No","Excellent","Right hand","Yes","Very cautious","Mouse","Mid-Range","Laptop-Windows","Stable"
580,561,599,"Junior",22,7,7,9,"Moderately fatigued","Low","No",3,"Neutral","Several times a month","Rarely","Beginner",2,"No","No","No","Good","Right hand","Yes","Very cautious","Trackpad","Mid-Range","Laptop-macOS","Stable"
550,536,583,"Sophomore",20,7,8,6,"Slightly Fatigued","Very Low","No",3,"Neutral","Several times a month","Rarely","Advanced",3,"No","No","No","Excellent","Right hand","Yes","Moderately cautious","Trackpad","Standard","Laptop-macOS","Stable"
562,532,518,"Senior",26,7,7,17,"Very fatigued","Moderate","No",3,"Warm","Rarely","Rarely","Intermediate",4,"No","Yes","No","Excellent","Right hand","Yes","Moderately cautious","Trackpad","Mid-Range","Laptop-macOS","Stable"
653,658,535,"Sophomore",19,7,7,2.5,"Not fatigued at all","Low","Yes",3,"Neutral","Rarely","Several times a month","Beginner",6,"No","Yes","No","Excellent","Right hand","Yes","Moderately cautious","Trackpad","Standard","Laptop-Windows","Stable"
435,431,392,"Junior",21,9,6.5,1.5,"Slightly Fatigued","Very Low","No",3,"Warm","Daily","Daily","Intermediate",20,"Yes","No","No","Excellent","Right hand","Yes","Moderately cautious","Mouse","Mid-Range","Desktopcomputer-Windows","Stable"
541,513,502,"Sophomore",20,6.5,8,1.5,"Slightly Fatigued","Moderate","No",3,"Neutral","Rarely","Several times a week","Intermediate",8,"No","No","No","Excellent","Right hand","Yes","Moderately cautious","Mouse","Standard","Laptop-Windows","Stable"
845,815,819,"Junior",22,5,7,3,"Slightly Fatigued","Moderate","No",3,"Neutral","Several times a month","Rarely","Beginner",1,"Yes","No","No","Good","Right hand","Yes","Slightly cautious","Game controller","Mid-Range","Laptop-Windows","Stable"
666,653,674,"Sophomore",20,8,8,2,"Slightly Fatigued","Low","No",3,"Neutral","Several times a week","Several times a month","Intermediate",5,"Yes","No","No","Excellent","Left hand","No","Very cautious","Trackpad","Standard","Laptop-Windows","Stable"
622,609,528,"Senior",21,9,9,9,"Not fatigued at all","Very Low","No",3,"Warm","Rarely","Several times a week","None",10,"No","No","No","Excellent","Right hand","Yes","Moderately cautious","Trackpad","High","Laptop-macOS","Stable"
593,579,539,"Sophomore",19,8,9,4,"Not fatigued at all","Very Low","No",3,"Very Warm","Rarely","Rarely","Beginner",4,"No","No","No","Good","Right hand","Yes","Not cautious at all","Trackpad","Standard","Laptop-Windows","Stable"
357,338,341,"Junior",21,8,11,6,"Slightly Fatigued","Low","No",3,"Neutral","Several times a month","Rarely","Advanced",0,"Yes","No","No","Good","Right hand","Yes","Very cautious","Mouse","High","Desktopcomputer-Windows","Stable"
571,511,503,"Sophomore",20,7,5,6,"Slightly Fatigued","Moderate","No",3,"Neutral","Daily","Several times a month","Advanced",6,"Yes","No","No","Good","Right hand","Yes","Moderately cautious","Mouse","Standard","Laptop-Windows","Stable"
568,532,505,"Sophomore",20,7,5,6,"Slightly Fatigued","Low","No",3,"Cold","Several times a week","Several times a week","Intermediate",6,"Yes","No","No","Excellent","Right hand","Yes","Very cautious","Mouse","Mid-Range","Laptop-macOS","Stable"
631,599,626,"Junior",21,10,9,2,"Slightly Fatigued","High","Yes",3,"Neutral","Several times a week","Several times a month","Intermediate",3,"Yes","No","No","Good","Right hand","Yes","Slightly cautious","Trackpad","Mid-Range","Laptop-macOS","Stable"
623,602,555,"Junior",21,7,7,5,"Moderately fatigued","High","No",3,"Neutral","Several times a month","Once a week","Beginner",4,"No","Yes","No","Poor","Right hand","Yes","Moderately cautious","Trackpad","Mid-Range","Desktopcomputer-macOS","Stable"
692,616,611,"Sophomore",19,6,7,5,"Slightly Fatigued","High","No",3,"Neutral","Never","Several times a month","None",15,"No","Yes","No","Good","Right hand","Yes","Slightly cautious","Trackpad","Standard","Laptop-macOS","Stable"
551,540,475,"Sophomore",20,6,6,14,"Slightly Fatigued","Moderate","No",3,"Warm","Several times a month","Rarely","Intermediate",3,"Yes","No","No","Excellent","Right hand","Yes","Moderately cautious","Touch screen","Mid-Range","Laptop-Windows","Stable"
559,515,525,"Sophomore",20,7,7,9,"Moderately fatigued","Very Low","Yes",3,"Neutral","Rarely","Rarely","Beginner",3,"No","No","No","Excellent","Right hand","Yes","Moderately cautious","Mouse","Mid-Range","Laptop-macOS","Stable"
672,673,629,"Junior",23,7,7,17,"Moderately fatigued","Very Low","No",3,"Neutral","Daily","Rarely","Beginner",1,"Yes","No","No","Average","Right hand","Yes","Slightly cautious","Trackpad","Mid-Range","Laptop-macOS","Stable"
627,663,638,"Junior",20,8,8,9,"Moderately fatigued","Moderate","No",3,"Neutral","Several times a week","Several times a week","Beginner",4,"Yes","No","No","Excellent","Right hand","Yes","Moderately cautious","Touch screen","Mid-Range","iPhone(Smartphone-IOS)","Stable"
515,479,529,"Senior",22,7.5,6,8,"Moderately fatigued","Moderate","No",3,"Neutral","Several times a week","Several times a month","Beginner",1,"Yes","No","No","Excellent","Right hand","Yes","Slightly cautious","Mouse","Standard","Laptop-Windows","Stable"
1050,868,742,"Junior",20,6.5,6.6,6,"Moderately fatigued","Moderate","No",3,"Neutral","Several times a week","Rarely","Beginner",6,"No","No","No","Excellent","Left hand","No","Moderately cautious","Mouse","Standard","Laptop-macOS","Stable"
603,544,520,"Senior",22,7,8,5,"Slightly Fatigued","Low","No",3,"Neutral","Rarely","Rarely","Intermediate",10,"No","Yes","No","Excellent","Right hand","Yes","Moderately cautious","Trackpad","Standard","Laptop-macOS","Stable"
517,517,516,"Sophomore",20,8,8,2,"Slightly Fatigued","Very Low","No",3,"Neutral","Several times a month","Several times a month","Intermediate",6,"Yes","No","No","Good","Right hand","Yes","Moderately cautious","Touch screen","Standard","iPad(Tablet-IOS)","Stable"
